Chr	First	Last	Sample	Sample group	Haplotype group	Total variants	Genotyped variants	Score Acutifolius	Score Vulgaris	Score self group
Chr05	4143633	4715726	GCDT_135	Vulgaris	U	50	46	-26	26	26
Chr05	4715765	10694933	GCDT_175	Vulgaris	U	50	46	-4	4	4
Chr05	4715765	10694933	GCDT_206	Vulgaris	U	50	41	25	-25	-25
Chr05	21583009	38957114	GCDT_016	Vulgaris	U	50	50	-26	26	26
Chr05	21583009	38957114	GCDT_039	Vulgaris	U	50	50	-25	25	25
Chr05	21583009	38957114	GCDT_053	Vulgaris	U	50	48	-12	12	12
Chr05	21583009	38957114	GCDT_064	Vulgaris	U	50	50	4	-4	-4
Chr05	21583009	38957114	GCDT_085	Vulgaris	U	50	48	-4	4	4
Chr05	21583009	38957114	GCDT_090	Vulgaris	U	50	50	-26	26	26
Chr05	21583009	38957114	GCDT_092	Vulgaris	U	50	50	-6	6	6
Chr05	21583009	38957114	GCDT_096	Vulgaris	U	50	48	-26	26	26
Chr05	21583009	38957114	GCDT_097	Vulgaris	U	50	50	-28	28	28
Chr05	21583009	38957114	GCDT_127	Vulgaris	U	50	48	-16	16	16
Chr05	21583009	38957114	GCDT_290	Vulgaris	U	50	50	-2	2	2
Chr06	137937	4211353	GCDT_082	Vulgaris	Acutifolius	50	43	43	-43	-43
Chr06	137937	13991003	GCDT_014	Vulgaris	Acutifolius	150	147	144	-144	-144
Chr06	137937	13991003	GCDT_032	Vulgaris	U	150	139	-3	3	3
Chr06	137937	13991003	GCDT_037	Vulgaris	U	150	149	-4	4	4
Chr06	137937	13991003	GCDT_053	Vulgaris	Acutifolius	150	128	128	-128	-128
Chr06	137937	13991003	GCDT_055	Vulgaris	U	150	150	-5	5	5
Chr06	137937	13991003	GCDT_057	Vulgaris	Acutifolius	150	134	134	-134	-134
Chr06	137937	13991003	GCDT_072	Vulgaris	Acutifolius	150	148	148	-148	-148
Chr06	137937	13991003	GCDT_073	Vulgaris	Acutifolius	150	138	138	-138	-138
Chr06	137937	13991003	GCDT_083	Vulgaris	Acutifolius	150	138	138	-138	-138
Chr06	137937	13991003	GCDT_084	Vulgaris	Acutifolius	150	136	136	-136	-136
Chr06	137937	13991003	GCDT_093	Vulgaris	Acutifolius	150	141	141	-141	-141
Chr06	137937	13991003	GCDT_172	Vulgaris	U	150	143	-5	5	5
Chr06	11042271	13991003	GCDT_075	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr06	11042271	13991003	GCDT_079	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr06	11042271	13991003	GCDT_082	Vulgaris	Acutifolius	50	49	49	-49	-49
Chr06	13991041	24706774	GCDT_014	Vulgaris	U	50	50	-6	6	6
Chr06	13991041	24706774	GCDT_031	Vulgaris	U	50	49	-2	2	2
Chr06	13991041	24706774	GCDT_038	Vulgaris	U	50	49	1	-1	-1
Chr06	13991041	24706774	GCDT_040	Vulgaris	U	50	49	1	-1	-1
Chr06	13991041	24706774	GCDT_043	Vulgaris	U	50	50	2	-2	-2
Chr06	13991041	24706774	GCDT_044	Vulgaris	U	50	49	1	-1	-1
Chr06	13991041	24706774	GCDT_054	Vulgaris	U	50	40	-29	29	29
Chr06	13991041	24706774	GCDT_057	Vulgaris	U	50	44	-11	11	11
Chr06	13991041	24706774	GCDT_072	Vulgaris	U	50	49	-7	7	7
Chr06	13991041	24706774	GCDT_073	Vulgaris	U	50	48	-4	4	4
Chr06	13991041	24706774	GCDT_075	Vulgaris	U	50	40	-8	8	8
Chr06	13991041	24706774	GCDT_093	Vulgaris	U	50	44	-12	12	12
Chr06	13991041	24706774	GCDT_101	Vulgaris	U	50	49	1	-1	-1
Chr06	13991041	24706774	GCDT_102	Vulgaris	U	50	47	3	-3	-3
Chr06	13991041	24706774	GCDT_103	Vulgaris	U	50	50	2	-2	-2
Chr06	13991041	24706774	GCDT_105	Vulgaris	U	50	46	0	0	0
Chr06	13991041	24706774	GCDT_135	Vulgaris	U	50	49	-29	29	29
Chr06	13991041	24706774	GCDT_231	Vulgaris	U	50	50	0	0	0
Chr06	13991041	24706774	GCDT_232	Vulgaris	U	50	49	-17	17	17
Chr06	13991041	24706774	GCDT_233	Vulgaris	U	50	42	-26	26	26
Chr06	13991041	24706774	GCDT_234	Vulgaris	U	50	42	6	-6	-6
Chr06	13991041	24706774	GCDT_237	Vulgaris	U	50	50	0	0	0
Chr06	13991041	24706774	GCDT_245	Vulgaris	U	50	50	1	-1	-1
Chr06	13991041	24706774	GCDT_252	Vulgaris	U	50	49	1	-1	-1
Chr06	13991041	24706774	GCDT_261	Vulgaris	U	50	44	-4	4	4
Chr06	13991041	24706774	GCDT_262	Vulgaris	U	50	49	-23	23	23
Chr06	13991041	24706774	GCDT_263	Vulgaris	U	50	50	2	-2	-2
Chr06	13991041	24706774	GCDT_265	Vulgaris	U	50	41	-2	2	2
Chr06	13991041	24706774	GCDT_290	Vulgaris	U	50	48	-23	23	23
Chr06	13991041	24706774	ICTA_LIGERO	Vulgaris	U	50	50	2	-2	-2
Chr06	13991041	29554536	GCDT_053	Vulgaris	U	100	98	-32	32	32
Chr06	13991041	29554536	GCDT_082	Vulgaris	U	100	97	-35	35	35
Chr06	13991041	29554536	GCDT_083	Vulgaris	U	100	96	-37	37	37
Chr06	13991041	29554536	GCDT_084	Vulgaris	U	100	92	-38	38	38
Chr06	13991041	29554536	GCDT_119	Vulgaris	U	100	94	-26	26	26
Chr06	13991041	29554536	GCDT_121	Vulgaris	U	100	92	-26	26	26
Chr06	13991041	30021657	GCDT_118	Vulgaris	U	150	134	-40	40	40
Chr06	25321400	29554536	GCDT_009	Vulgaris	U	50	40	24	-24	-24
Chr06	25321400	29554536	GCDT_011	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_029	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_066	Vulgaris	U	50	49	-23	23	23
Chr06	25321400	29554536	GCDT_079	Vulgaris	U	50	40	-24	24	24
Chr06	25321400	29554536	GCDT_086	Vulgaris	U	50	47	-27	27	27
Chr06	25321400	29554536	GCDT_087	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_104	Vulgaris	U	50	48	-26	26	26
Chr06	25321400	29554536	GCDT_110	Vulgaris	U	50	49	-25	25	25
Chr06	25321400	29554536	GCDT_111	Vulgaris	U	50	49	-25	25	25
Chr06	25321400	29554536	GCDT_113	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_117	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_162	Vulgaris	U	50	42	-22	22	22
Chr06	25321400	29554536	GCDT_170	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_173	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_174	Vulgaris	U	50	50	-28	28	28
Chr06	25321400	29554536	GCDT_175	Vulgaris	U	50	49	-29	29	29
Chr06	25321400	29554536	GCDT_176	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_177	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_179	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_181	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_183	Vulgaris	U	50	48	-26	26	26
Chr06	25321400	29554536	GCDT_184	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_198	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_224	Vulgaris	U	50	46	-26	26	26
Chr06	25321400	29554536	GCDT_238	Vulgaris	U	50	49	-23	23	23
Chr06	25321400	29554536	GCDT_240	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_244	Vulgaris	U	50	48	-26	26	26
Chr06	25321400	29554536	GCDT_249	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_250	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_251	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_253	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_254	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_255	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_258	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_259	Vulgaris	U	50	42	-20	20	20
Chr06	25321400	29554536	GCDT_260	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_271	Vulgaris	U	50	50	-24	24	24
Chr06	25321400	29554536	GCDT_272	Vulgaris	U	50	42	-20	20	20
Chr06	25321400	29554536	GCDT_284	Vulgaris	U	50	41	-23	23	23
Chr06	25321400	29554536	GCDT_285	Vulgaris	U	50	49	-25	25	25
Chr06	25321400	29554536	GCDT_286	Vulgaris	U	50	47	-27	27	27
Chr06	25321400	29554536	GCDT_298	Vulgaris	U	50	47	-21	21	21
Chr06	25321400	30813976	GCDT_024	Vulgaris	U	250	230	1	-1	-1
Chr06	25321400	31021401	GCDT_025	Vulgaris	Acutifolius	350	350	346	-346	-346
Chr06	25321400	31021401	GCDT_064	Vulgaris	U	350	333	24	-24	-24
Chr06	25321400	31021401	GCDT_065	Vulgaris	U	350	348	12	-12	-12
Chr06	29554545	30021657	GCDT_009	Vulgaris	Acutifolius	50	42	42	-42	-42
Chr06	30210282	31021401	GCDT_009	Vulgaris	Acutifolius	200	187	187	-187	-187
Chr06	30883747	31021401	GCDT_024	Vulgaris	U	50	46	0	0	0
Chr07	184258	1035687	GCDT_135	Vulgaris	U	50	45	-6	6	6
Chr07	184258	1035687	GCDT_145	Vulgaris	U	50	49	-20	20	20
Chr07	184258	1035687	GCDT_204	Vulgaris	U	50	50	-26	26	26
Chr07	184258	1035687	GCDT_287	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr07	184258	1035687	GCDT_288	Vulgaris	Acutifolius	50	48	48	-48	-48
Chr07	184258	2892722	GCDT_146	Vulgaris	U	150	135	-8	8	8
Chr07	184258	2892722	GCDT_189	Vulgaris	Acutifolius	150	140	140	-140	-140
Chr07	184258	2892722	GCDT_276	Vulgaris	U	150	139	1	-1	-1
Chr07	184258	2892722	GCDT_279	Vulgaris	Acutifolius	150	146	146	-146	-146
Chr07	184258	2892722	GCDT_301	Vulgaris	Acutifolius	150	133	131	-131	-131
Chr07	1102512	2892722	GCDT_271	Vulgaris	Acutifolius	100	92	92	-92	-92
Chr07	2937347	9149573	GCDT_124	Vulgaris	U	50	48	-19	19	19
Chr07	2937347	9149573	GCDT_125	Vulgaris	U	50	45	-15	15	15
Chr07	2937347	9149573	GCDT_128	Vulgaris	U	50	46	-12	12	12
Chr07	2937347	9149573	GCDT_130	Vulgaris	U	50	50	-16	16	16
Chr07	2937347	9149573	GCDT_132	Vulgaris	U	50	48	-17	17	17
Chr07	2937347	9149573	GCDT_133	Vulgaris	U	50	47	-26	26	26
Chr07	2937347	9149573	GCDT_143	Vulgaris	U	50	50	-18	18	18
Chr07	2937347	9149573	GCDT_145	Vulgaris	U	50	50	-16	16	16
Chr07	2937347	9149573	GCDT_189	Vulgaris	U	50	50	-20	20	20
Chr07	2937347	9149573	GCDT_271	Vulgaris	U	50	50	-19	19	19
Chr07	2937347	9149573	GCDT_277	Vulgaris	U	50	47	-17	17	17
Chr07	2937347	9149573	GCDT_279	Vulgaris	U	50	49	-21	21	21
Chr07	2937347	9149573	GCDT_301	Vulgaris	U	50	49	-19	19	19
Chr07	2937347	35020529	GCDT_203	Vulgaris	U	100	99	21	-21	-21
Chr07	2937347	35020529	GCDT_210	Vulgaris	U	100	89	30	-30	-30
Chr07	2937347	35020529	GCDT_211	Vulgaris	U	100	97	19	-19	-19
Chr07	2937347	35020529	GCDT_212	Vulgaris	U	100	100	22	-22	-22
Chr07	2937347	35020529	GCDT_214	Vulgaris	U	100	99	21	-21	-21
Chr07	9182744	35020529	GCDT_089	Vulgaris	U	50	50	-13	13	13
Chr07	9182744	35020529	GCDT_118	Vulgaris	U	50	41	-26	26	26
Chr07	9182744	35020529	GCDT_135	Vulgaris	U	50	45	-21	21	21
Chr07	9182744	35020529	GCDT_141	Vulgaris	U	50	50	-16	16	16
Chr07	35982111	40010907	GCDT_137	Vulgaris	Acutifolius	50	48	42	-42	-42
Chr07	35982111	40010907	GCDT_143	Vulgaris	Acutifolius	50	49	45	-45	-45
Chr07	35982111	40010907	GCDT_202	Vulgaris	Acutifolius	50	43	39	-39	-39
Chr07	35982111	40010907	GCDT_231	Vulgaris	Acutifolius	50	50	45	-45	-45
Chr07	35982111	40010907	GCDT_232	Vulgaris	Acutifolius	50	50	46	-46	-46
Chr07	35982111	40010907	GCDT_234	Vulgaris	Acutifolius	50	46	40	-40	-40
Chr07	35982111	40010907	GCDT_240	Vulgaris	U	50	49	-2	2	2
Chr07	35982111	40010907	GCDT_296	Vulgaris	Acutifolius	50	48	42	-42	-42
Chr07	35982111	40010907	GCDT_301	Vulgaris	Acutifolius	50	40	36	-36	-36
Chr08	172770	3229929	GCDT_007	Vulgaris	Acutifolius	50	44	38	-38	-38
Chr08	172770	3229929	GCDT_008	Vulgaris	U	50	47	2	-2	-2
Chr08	172770	3229929	GCDT_057	Vulgaris	Acutifolius	50	43	35	-35	-35
Chr08	172770	3229929	GCDT_175	Vulgaris	U	50	45	-27	27	27
Chr08	172770	3229929	GCDT_205	Vulgaris	U	50	42	-26	26	26
Chr08	172770	17151020	GCDT_053	Vulgaris	U	100	94	-32	32	32
Chr08	3230123	17151020	GCDT_025	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_029	Vulgaris	U	50	49	-23	23	23
Chr08	3230123	17151020	GCDT_031	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_034	Vulgaris	U	50	48	-24	24	24
Chr08	3230123	17151020	GCDT_037	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_043	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_044	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_045	Vulgaris	U	50	43	-29	29	29
Chr08	3230123	17151020	GCDT_054	Vulgaris	U	50	40	-24	24	24
Chr08	3230123	17151020	GCDT_085	Vulgaris	U	50	48	-24	24	24
Chr08	3230123	17151020	GCDT_101	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_102	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_103	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_105	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_109	Vulgaris	U	50	48	-28	28	28
Chr08	3230123	17151020	GCDT_110	Vulgaris	U	50	47	-25	25	25
Chr08	3230123	17151020	GCDT_111	Vulgaris	U	50	46	-26	26	26
Chr08	3230123	17151020	GCDT_117	Vulgaris	U	50	50	-2	2	2
Chr08	3230123	17151020	GCDT_119	Vulgaris	U	50	46	-28	28	28
Chr08	3230123	17151020	GCDT_126	Vulgaris	U	50	48	-20	20	20
Chr08	3230123	17151020	GCDT_230	Vulgaris	U	50	41	-25	25	25
Chr08	3230123	17151020	GCDT_232	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_234	Vulgaris	U	50	42	-26	26	26
Chr08	3230123	17151020	GCDT_244	Vulgaris	U	50	49	-23	23	23
Chr08	3230123	17151020	GCDT_247	Vulgaris	U	50	44	-24	24	24
Chr08	3230123	17151020	GCDT_252	Vulgaris	U	50	49	-25	25	25
Chr08	3230123	17151020	GCDT_253	Vulgaris	U	50	50	-22	22	22
Chr08	3230123	17151020	GCDT_254	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_257	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_258	Vulgaris	U	50	49	-26	26	26
Chr08	3230123	17151020	GCDT_260	Vulgaris	U	50	50	-22	22	22
Chr08	3230123	17151020	GCDT_262	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	GCDT_268	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	17151020	ICTA_LIGERO	Vulgaris	U	50	50	-24	24	24
Chr08	3230123	49985315	GCDT_049	Vulgaris	U	100	91	-47	47	47
Chr08	3230123	49985315	GCDT_127	Vulgaris	U	100	97	-21	21	21
Chr08	17353322	56386095	GCDT_048	Vulgaris	Acutifolius	250	238	238	-238	-238
Chr08	17353322	58824633	GCDT_047	Vulgaris	U	450	406	12	-12	-12
Chr08	17353322	60372794	GCDT_046	Vulgaris	Acutifolius	500	487	471	-471	-471
Chr08	49985567	56064730	GCDT_175	Vulgaris	U	150	137	-43	43	43
Chr08	53255465	54526747	GCDT_151	Vulgaris	U	50	50	-21	21	21
Chr08	53255465	54526747	GCDT_200	Vulgaris	U	50	47	7	-7	-7
Chr08	53255465	54526747	GCDT_238	Vulgaris	U	50	42	-13	13	13
Chr08	53255465	54526747	GCDT_240	Vulgaris	U	50	47	-22	22	22
Chr08	53255465	54526747	GCDT_298	Vulgaris	U	50	47	9	-9	-9
Chr08	53255465	56064730	GCDT_002	Vulgaris	U	100	89	-7	7	7
Chr08	53255465	56064730	GCDT_174	Vulgaris	U	100	99	-17	17	17
Chr08	53255465	56064730	GCDT_189	Vulgaris	U	100	96	-20	20	20
Chr08	53255465	56064730	GCDT_190	Vulgaris	U	100	90	-12	12	12
Chr08	53255465	56064730	GCDT_231	Vulgaris	U	100	99	-17	17	17
Chr08	53255465	56064730	GCDT_241	Vulgaris	U	100	96	-14	14	14
Chr08	53255465	56064730	GCDT_245	Vulgaris	U	100	100	-16	16	16
Chr08	53255465	56064730	GCDT_261	Vulgaris	U	100	94	-16	16	16
Chr08	53255465	56064730	GCDT_279	Vulgaris	U	100	98	-18	18	18
Chr08	53255465	56064730	GCDT_291	Vulgaris	U	100	100	-16	16	16
Chr08	53255465	56064730	GCDT_292	Vulgaris	U	100	98	-16	16	16
Chr08	53255465	56064730	GCDT_300	Vulgaris	U	100	99	-17	17	17
Chr08	54530333	56064730	GCDT_081	Vulgaris	U	50	45	-21	21	21
Chr08	54530333	56064730	GCDT_114	Vulgaris	U	50	50	-20	20	20
Chr08	56064771	56386095	GCDT_244	Vulgaris	U	50	50	-6	6	6
Chr08	56064771	56386095	GCDT_261	Vulgaris	Acutifolius	50	48	48	-48	-48
Chr08	56064771	56386095	GCDT_277	Vulgaris	Acutifolius	50	49	45	-45	-45
Chr08	56064771	56386095	GCDT_299	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr08	56064771	57190402	GCDT_002	Vulgaris	Acutifolius	100	93	93	-93	-93
Chr08	56064771	57190402	GCDT_240	Vulgaris	U	100	90	-6	6	6
Chr08	56064771	57678631	GCDT_200	Vulgaris	Acutifolius	150	137	135	-135	-135
Chr08	56064771	57678631	GCDT_291	Vulgaris	Acutifolius	150	149	149	-149	-149
Chr08	56064771	57678631	GCDT_292	Vulgaris	Acutifolius	150	147	147	-147	-147
Chr08	56064771	58824633	GCDT_175	Vulgaris	Acutifolius	250	241	240	-240	-240
Chr08	56064771	58824633	GCDT_298	Vulgaris	Acutifolius	250	223	223	-223	-223
Chr08	56064771	60372794	GCDT_151	Vulgaris	U	300	293	-22	22	22
Chr08	56064771	62170474	GCDT_174	Vulgaris	Acutifolius	450	437	437	-437	-437
Chr08	56064771	62170474	GCDT_189	Vulgaris	Acutifolius	450	432	432	-432	-432
Chr08	56064771	62170474	GCDT_190	Vulgaris	Acutifolius	450	425	424	-424	-424
Chr08	56064771	62170474	GCDT_231	Vulgaris	Acutifolius	450	446	446	-446	-446
Chr08	56064771	62170474	GCDT_241	Vulgaris	Acutifolius	450	417	417	-417	-417
Chr08	56064771	62170474	GCDT_245	Vulgaris	Acutifolius	450	447	446	-446	-446
Chr08	56064771	62170474	GCDT_279	Vulgaris	Acutifolius	450	417	414	-414	-414
Chr08	56064771	62170474	GCDT_300	Vulgaris	Acutifolius	450	442	442	-442	-442
Chr08	57190590	62170474	GCDT_261	Vulgaris	Acutifolius	350	334	332	-332	-332
Chr08	57678644	58336740	GCDT_291	Vulgaris	U	50	49	23	-23	-23
Chr08	57678644	58336740	GCDT_292	Vulgaris	U	50	50	24	-24	-24
Chr08	57678644	58824633	GCDT_002	Vulgaris	Acutifolius	100	89	89	-89	-89
Chr08	58337267	58824633	GCDT_048	Vulgaris	Acutifolius	50	43	43	-43	-43
Chr08	58337267	58824633	GCDT_240	Vulgaris	U	50	41	-5	5	5
Chr08	58824706	60372794	GCDT_117	Vulgaris	U	50	50	10	-10	-10
Chr08	58824706	60372794	GCDT_200	Vulgaris	U	50	40	18	-18	-18
Chr08	58824706	61248297	GCDT_037	Vulgaris	U	100	96	-16	16	16
Chr08	58824706	61248297	GCDT_232	Vulgaris	U	100	100	36	-36	-36
Chr08	58824706	62170474	GCDT_172	Vulgaris	U	200	179	-26	26	26
Chr08	60372871	62170474	GCDT_002	Vulgaris	Acutifolius	150	144	144	-144	-144
Chr08	60372871	62170474	GCDT_175	Vulgaris	Acutifolius	150	143	143	-143	-143
Chr08	60372871	62170474	GCDT_192	Vulgaris	U	150	141	-5	5	5
Chr08	60372871	62170474	GCDT_234	Vulgaris	Acutifolius	150	133	133	-133	-133
Chr08	60372871	62170474	GCDT_240	Vulgaris	U	150	133	-3	3	3
Chr08	60372871	62170474	GCDT_298	Vulgaris	Acutifolius	150	139	139	-139	-139
Chr08	61259872	62170474	GCDT_233	Vulgaris	U	100	82	3	-3	-3
Chr08	61259872	62170474	GCDT_280	Vulgaris	Acutifolius	100	97	97	-97	-97
Chr09	8431265	29972531	GCDT_064	Vulgaris	U	50	49	1	-1	-1
Chr09	8431265	29972531	GCDT_102	Vulgaris	U	50	48	24	-24	-24
Chr09	8431265	29972531	GCDT_103	Vulgaris	U	50	50	-3	3	3
Chr09	8431265	29972531	GCDT_105	Vulgaris	U	50	49	25	-25	-25
Chr09	8431265	29972531	GCDT_114	Vulgaris	U	50	50	-14	14	14
Chr09	8431265	29972531	GCDT_117	Vulgaris	U	50	50	-25	25	25
Chr09	8431265	29972531	GCDT_118	Vulgaris	U	50	44	4	-4	-4
Chr09	8431265	29972531	GCDT_172	Vulgaris	U	50	49	-29	29	29
Chr09	8431265	29972531	GCDT_290	Vulgaris	U	50	48	0	0	0
Chr09	29972566	36725341	GCDT_105	Vulgaris	Acutifolius	400	392	392	-392	-392
Chr09	29972566	38119332	GCDT_102	Vulgaris	Acutifolius	600	590	590	-590	-590
Chr09	29972566	38119332	GCDT_103	Vulgaris	Acutifolius	600	597	597	-597	-597
Chr09	33370193	34953542	GCDT_114	Vulgaris	U	50	42	-20	20	20
Chr09	33370193	34953542	GCDT_151	Vulgaris	U	50	42	-20	20	20
Chr09	33370193	34953542	GCDT_293	Vulgaris	U	50	42	-20	20	20
Chr09	34953679	36029466	GCDT_104	Vulgaris	U	50	42	-26	26	26
Chr09	34953679	36029466	GCDT_241	Vulgaris	U	50	41	-27	27	27
Chr09	34953679	36029466	GCDT_246	Vulgaris	U	50	40	-28	28	28
Chr09	34953679	36508259	GCDT_127	Vulgaris	U	100	92	-54	54	54
Chr09	36035376	36508259	GCDT_101	Vulgaris	U	50	50	-4	4	4
Chr09	36035376	36508259	GCDT_114	Vulgaris	U	50	50	-26	26	26
Chr09	36035376	36508259	GCDT_265	Vulgaris	U	50	41	-29	29	29
Chr09	36508268	38119332	GCDT_101	Vulgaris	Acutifolius	250	245	245	-245	-245
Chr09	36725377	36912104	GCDT_105	Vulgaris	U	50	50	-6	6	6
Chr09	36725377	36912104	GCDT_114	Vulgaris	U	50	50	-28	28	28
Chr09	36725377	36912104	GCDT_242	Vulgaris	U	50	43	-25	25	25
Chr09	36725377	36912104	GCDT_246	Vulgaris	U	50	41	-25	25	25
Chr09	37236352	37547757	GCDT_100	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr09	37603862	38119332	GCDT_064	Vulgaris	U	50	49	-1	1	1
Chr10	304723	2728194	GCDT_005	Vulgaris	U	50	43	5	-5	-5
Chr10	304723	2728194	GCDT_248	Vulgaris	Acutifolius	50	45	45	-45	-45
Chr10	304723	9331832	GCDT_012	Vulgaris	U	150	131	15	-15	-15
Chr10	304723	36053348	GCDT_166	Vulgaris	Acutifolius	350	336	334	-334	-334
Chr10	304723	36053348	GCDT_167	Vulgaris	Acutifolius	350	333	333	-333	-333
Chr10	304723	36053348	GCDT_192	Vulgaris	Acutifolius	350	310	307	-307	-307
Chr10	304723	36053348	GCDT_204	Vulgaris	Acutifolius	350	334	333	-333	-333
Chr10	304723	36053348	GCDT_208	Vulgaris	Acutifolius	350	334	334	-334	-334
Chr10	304723	36053348	GCDT_209	Vulgaris	Acutifolius	350	329	329	-329	-329
Chr10	304723	36053348	GCDT_237	Vulgaris	Acutifolius	350	342	342	-342	-342
Chr10	304723	36053348	GCDT_257	Vulgaris	Acutifolius	350	345	345	-345	-345
Chr10	304723	36053348	GCDT_268	Vulgaris	Acutifolius	350	347	347	-347	-347
Chr10	304723	40602705	GCDT_025	Vulgaris	U	400	375	-90	90	90
Chr10	304723	40602705	GCDT_037	Vulgaris	U	400	389	-86	86	86
Chr10	2921009	9331832	GCDT_047	Vulgaris	U	100	88	12	-12	-12
Chr10	6312205	9331832	GCDT_053	Vulgaris	U	50	47	-21	21	21
Chr10	6312205	16658809	GCDT_248	Vulgaris	Acutifolius	100	81	81	-81	-81
Chr10	6312205	36053348	GCDT_226	Vulgaris	Acutifolius	250	230	230	-230	-230
Chr10	9332220	16658809	GCDT_048	Vulgaris	Acutifolius	50	41	41	-41	-41
Chr10	9332220	36053348	GCDT_005	Vulgaris	Acutifolius	200	192	191	-191	-191
Chr10	9332220	36053348	GCDT_012	Vulgaris	Acutifolius	200	199	199	-199	-199
Chr10	9332220	36053348	GCDT_047	Vulgaris	Acutifolius	200	193	193	-193	-193
Chr10	16658872	40602705	GCDT_040	Vulgaris	U	200	171	-18	18	18
Chr10	24287002	33869039	GCDT_048	Vulgaris	Acutifolius	50	44	44	-44	-44
Chr10	24287002	36053348	GCDT_248	Vulgaris	Acutifolius	100	81	81	-81	-81
Chr10	33869042	40602705	GCDT_241	Vulgaris	U	100	90	-15	15	15
Chr10	36064287	40602705	GCDT_005	Vulgaris	U	50	48	20	-20	-20
Chr10	36064287	40602705	GCDT_012	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_047	Vulgaris	U	50	46	18	-18	-18
Chr10	36064287	40602705	GCDT_048	Vulgaris	U	50	45	17	-17	-17
Chr10	36064287	40602705	GCDT_166	Vulgaris	U	50	50	22	-22	-22
Chr10	36064287	40602705	GCDT_167	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_192	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_204	Vulgaris	U	50	48	20	-20	-20
Chr10	36064287	40602705	GCDT_208	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_209	Vulgaris	U	50	50	22	-22	-22
Chr10	36064287	40602705	GCDT_226	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_237	Vulgaris	U	50	49	21	-21	-21
Chr10	36064287	40602705	GCDT_248	Vulgaris	U	50	43	15	-15	-15
Chr10	36064287	40602705	GCDT_257	Vulgaris	U	50	50	22	-22	-22
Chr10	36064287	40602705	GCDT_268	Vulgaris	U	50	49	21	-21	-21
Chr10	40961444	44142091	GCDT_004	Vulgaris	U	50	49	1	-1	-1
Chr10	40961444	44142091	GCDT_007	Vulgaris	U	50	50	0	0	0
